Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Missouri"
"","Sex (SEX)","",""
"PRD-Photographic Process Workers And Processing Machine Operators","485","333","152"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","2978","2593","385"
"PRD-Adhesive Bonding Machine Operators And Tenders","102","85","17"
"PRD-Etchers And Engravers","324","202","122"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","735","637","98"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","522","336","186"
"PRD-Tire Builders","75","60","15"
"PRD-Helpers--Production Workers","1034","775","259"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","21936","15751","6185"
"TRN-Supervisors Of Transportation And Material Moving Workers","4277","3237","1040"
"TRN-Aircraft Pilots And Flight Engineers","1721","1589","132"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","476","230","246"
"TRN-Flight Attendants","1926","361","1565"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","605","486","119"
"TRN-Driver/Sales Workers And Truck Drivers","67438","63020","4418"
"TRN-Bus Drivers, School","8599","4283","4316"
"TRN-Bus Drivers, Transit And Intercity","8286","5861","2425"
"TRN-Shuttle Drivers and Chauffeurs","6018","4903","1115"
"TRN-Taxi Drivers","14431","12288","2143"
"TRN-Motor Vehicle Operators, All Other","2786","2225","561"
"TRN-Locomotive Engineers And Operators","468","386","82"
"TRN-Railroad Conductors And Yardmasters","862","746","116"
"TRN-Other Rail Transportation Workers","775","548","227"
"TRN-Ship And Boat Captains And Operators","1069","991","78"
"TRN-Sailors And Marine Oilers, And Ship Engineers","930","866","64"
"TRN-Parking Attendants","3091","2534","557"
"TRN-Transportation Service Attendants","2553","2272","281"
"TRN-Transportation Inspectors","1081","976","105"
"TRN-Passenger Attendants","1445","612","833"
"TRN-Other Transportation Workers","526","404","122"
"TRN-Crane And Tower Operators","805","764","41"
"TRN-Industrial Truck And Tractor Operators","5114","4864","250"
"TRN-Cleaners Of Vehicles And Equipment","5952","5165","787"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","52355","41638","10717"
"TRN-Machine Feeders And Offbearers","858","191","667"
"TRN-Packers And Packagers, Hand","13446","6113","7333"
"TRN-Stockers And Order Fillers","36987","25638","11349"
"TRN-Pumping Station Operators","51","51","0"
"TRN-Refuse And Recyclable Material Collectors","1935","1864","71"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","437","437","0"
"TRN-Other Material Moving Workers","1087","988","99"
"MIL-Military Officer Special And Tactical Operations Leaders","249","225","24"
"MIL-First-Line Enlisted Military Supervisors","605","562","43"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","903","836","67"
"MIL-Military, Rank Not Specified","1934","1735","199"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","32230","16835","15395"
